fold_id,test_subject,n_train,n_test,balanced_accuracy,confusion_matrix,f1,precision,recall,roc_auc
0,Subject203,1037,147,0.5,"[[0, 87], [0, 60]]",0.5797101449275363,0.40816326530612246,1.0,0.6802681992337165
1,Subject204,1048,136,0.28448275862068967,"[[0, 78], [25, 33]]",0.3905325443786982,0.2972972972972973,0.5689655172413793,0.25862068965517243
2,Subject205,1056,128,0.42291666666666666,"[[1, 79], [8, 40]]",0.47904191616766467,0.33613445378151263,0.8333333333333334,0.3208333333333333
3,Subject207,1074,110,0.5203804347826086,"[[4, 60], [1, 45]]",0.5960264900662252,0.42857142857142855,0.9782608695652174,0.8447690217391304
4,Subject208,1036,148,0.5,"[[0, 88], [0, 60]]",0.5769230769230769,0.40540540540540543,1.0,0.5803030303030303
5,Subject301,1067,117,0.5344776119402985,"[[14, 53], [7, 43]]",0.589041095890411,0.4479166666666667,0.86,0.49522388059701494
6,Subject302,1059,125,0.6108502869066249,"[[21, 50], [4, 50]]",0.6493506493506493,0.5,0.9259259259259259,0.664319248826291
7,Subject303,1051,133,0.3259493670886076,"[[12, 67], [27, 27]]",0.36486486486486486,0.2872340425531915,0.5,0.1659634317862166
8,Subject304,1044,140,0.5,"[[0, 83], [0, 57]]",0.5786802030456852,0.40714285714285714,1.0,0.5
