feature,mean_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds
beta_F3,1.0658861515516065,0.24309403004549587,1.0658861515516065,1.2912117563912946,9
beta_O2,-1.0076806257780107,0.28230282283716274,1.0076806257780107,1.295513416969512,9
beta_AF4,-0.8743739827219074,0.694258766860284,0.9407370868508631,1.6712826367369196,9
beta_FC5,-0.5400567775535805,0.26646207530951427,0.5400567775535805,1.0153186552654743,9
beta_AF3,0.530783285807549,0.35792480047596925,0.5331568780540323,1.1660926982852577,9
theta_F3,-0.43717915347992703,0.25206198166947613,0.46373138355127747,0.6800022314658056,9
beta_O1,-0.37390518326132677,0.34403978032155796,0.3943378736742914,0.9417360400369738,9
delta_O1,0.2599525780157728,0.3602551190112519,0.39277947003310243,0.7062357890189921,9
alpha_O1,0.30732640225380975,0.2791607941259703,0.3906503495060172,0.5753387310390045,9
beta_F4,-0.04000652578964485,0.5010601544053921,0.34998290498439855,1.1797651889601046,9
beta_FC6,-0.3122814942834063,0.4507587971599238,0.3428402767415406,1.2593687421480593,9
delta_O2,-0.17682475530453637,0.3828029986094401,0.31405067001292386,0.8158989732421685,9
alpha_F3,-0.2662793311661532,0.19036298946639482,0.29014188914994055,0.6092888570450969,9
alpha_O2,0.19412202506157383,0.23880811665301008,0.28510178094428085,0.4167082471625754,9
theta_O1,0.28387509586402665,0.20815274852101937,0.28387509586402665,0.7030390264931327,9
theta_O2,0.2183998678906729,0.20446168877496326,0.26252796045172605,0.4800396515310848,9
alpha_FC6,0.2415869129174363,0.18292812058561475,0.2415869129174363,0.6497536527076262,9
alpha_FC5,-0.023446304390765768,0.2711354997012472,0.17626126226365202,0.6876673104279881,9
theta_F4,-0.14491223905658535,0.11520223527134799,0.14491223905658535,0.32979682746931543,9
alpha_AF3,0.02940147746368211,0.25552469074142853,0.12850684631231032,0.7105874569919659,9
theta_FC6,0.12826223919829108,0.14453431285821508,0.12826223919829108,0.473858513940201,9
delta_F4,-0.10462761833798707,0.10646362018854508,0.12591814407442545,0.2980648635571369,9
alpha_AF4,0.08839254186731985,0.05578895575728945,0.0946941777292942,0.17054088002662862,9
theta_AF4,0.08811189362242823,0.05436507608642239,0.09017370131064216,0.13951004247687113,9
theta_FC5,0.05285086221892531,0.06513856830830074,0.06104795309413919,0.1946311243628551,9
alpha_F4,0.027510265885788268,0.12245196594176828,0.05956634052596986,0.3423999770493964,9
delta_FC5,0.041331349086352165,0.050292874616562046,0.05574420944037622,0.13087993450872015,9
delta_AF4,-0.04968873650738283,0.022297675755464815,0.051223948495100716,0.06474966627148471,9
delta_F3,1.9771925477153464e-05,0.07373347430431668,0.05108154977722702,0.1697467743257576,9
delta_AF3,-0.03025209634424743,0.013545785735873325,0.03025209634424743,0.04360890773437665,9
theta_AF3,0.02617447054112491,0.02785096813345166,0.028229128062414153,0.08417647375370847,9
delta_FC6,-0.018842010162319754,0.022852125610634055,0.018842010162319754,0.060246941464600016,9
